,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_learning_rate,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,0.526383352279663,0.19968456845071636,0.005067586898803711,0.0026143557878334305,dart,0.05,100,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multiclass'}",0.9750196063566773,0.9788980983317329,0.9873725998085477,0.9873019222896946,0.9872631457493312,0.9831710745071968,0.005218553893863285,45
16,4.017721939086914,0.35486261131197133,0.00901622772216797,0.000939394887582701,dart,0.05,500,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.05, 'n_estimators': 500, 'objective': 'multiclass'}",0.983306184221167,0.9789764344904692,0.9787570018888283,0.9872724940718635,0.991512583461736,0.9839649396268128,0.004906090124087514,44
17,13.075531625747681,7.73974469847998,0.015546703338623047,0.0017542414220698469,dart,0.05,1000,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multiclass'}",0.9874814208258328,0.9789764344904692,0.9872959190566795,0.9872724940718635,0.9957605745185628,0.9873573685926816,0.005308112563702851,12
18,0.47778735160827634,0.29737545206743793,0.0035721778869628905,0.0003388565488057067,dart,0.1,100,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.1, 'n_estimators': 100, 'objective': 'multiclass'}",0.9790468343224965,0.983175237544941,0.9872959190566795,0.9830508474576272,0.991512583461736,0.9848162843686961,0.004244652299767581,42
19,4.432971811294555,2.9616001311391544,0.009587526321411133,0.005122978866322806,dart,0.1,500,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.1, 'n_estimators': 500, 'objective': 'multiclass'}",0.9874814208258328,0.9874225894416878,0.9872959190566795,0.9915254237288136,0.991512583461736,0.9890475873029498,0.002018797490800451,1
20,14.04874587059021,9.224422547190896,0.02082343101501465,0.017531658030407238,dart,0.1,1000,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.1, 'n_estimators': 1000, 'objective': 'multiclass'}",0.9874814208258328,0.9874225894416878,0.9872959190566795,0.9873019222896946,0.991512583461736,0.9882028870151262,0.0016563693216327037,4
21,0.6801186084747315,0.09933102306938152,0.005922508239746094,0.003757054501852,dart,0.2,100,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.2, 'n_estimators': 100, 'objective': 'multiclass'}",0.983306184221167,0.9789764344904692,0.9830365319637524,0.9872724940718635,0.991512583461736,0.9848208456417975,0.00425264744134793,40
22,2.894600343704224,0.4253144804640167,0.016787147521972655,0.013356923973679706,dart,0.2,500,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.2, 'n_estimators': 500, 'objective': 'multiclass'}",0.9874814208258328,0.9874225894416878,0.9872959190566795,0.9873019222896946,0.991512583461736,0.9882028870151262,0.0016563693216327037,4
23,6.005707454681397,4.3794195523063975,0.008988904953002929,0.0015454531332025308,dart,0.2,1000,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.2, 'n_estimators': 1000, 'objective': 'multiclass'}",0.9832220709271624,0.9831931720241912,0.9872959190566795,0.9915254237288136,0.991512583461736,0.9873498338397166,0.003717074286378634,14
24,0.23808612823486328,0.09270779064076366,0.0032506942749023437,0.0004988263366453691,dart,0.3,100,multiclass,"{'boosting_type': 'dart', 'learning_rate': 0.3, 'n_estimators': 100, 'objective': 'multiclass'}",0.9874814208258328,0.9789764344904692,0.9872959190566795,0.9830508474576272,0.991512583461736,0.9856634410584689,0.004283087761569053,38
