,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
69,0.045496892929077146,0.013057220905848063,0.002378988265991211,0.0002017473954589431,3,0.1,poly,"{'C': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
70,0.021242380142211914,0.0010329313395088847,0.006159448623657226,0.0004211699554193475,3,0.1,sigmoid,"{'C': 3, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
71,0.01115117073059082,0.003079267438813479,0.002196979522705078,9.308215529315635e-05,3,0.1,linear,"{'C': 3, 'gamma': 0.1, 'kernel': 'linear'}",0.9831665300794615,0.9832415846161903,0.9787492442984731,0.9872959190566795,0.9957605745185628,0.9856427705138735,0.00573621865114207,15
72,0.010416173934936523,0.0001864826302435587,0.0046729564666748045,8.061163099873906e-05,3,0.01,rbf,"{'C': 3, 'gamma': 0.01, 'kernel': 'rbf'}",0.987317918131166,0.9704629491097956,0.9483640584215752,0.9739136100104129,0.9738722376769501,0.97078615466998,0.012613159401004785,119
73,0.048097085952758786,0.014054085286186404,0.00249481201171875,0.0003744852696925889,3,0.01,poly,"{'C': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9703617234165125,0.9872349128910092,0.9704841400766304,0.009535395762172664,120
74,0.020435285568237305,0.00038867100018291704,0.005791664123535156,0.0002635912077108972,3,0.01,sigmoid,"{'C': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
75,0.010912752151489258,0.003197236283400301,0.0022039890289306642,0.00014077597774198402,3,0.01,linear,"{'C': 3, 'gamma': 0.01, 'kernel': 'linear'}",0.9831665300794615,0.9832415846161903,0.9787492442984731,0.9872959190566795,0.9957605745185628,0.9856427705138735,0.00573621865114207,15
76,0.008217763900756837,0.00026588379224984284,0.004942750930786133,0.00034907781205117765,3,0.001,rbf,"{'C': 3, 'gamma': 0.001, 'kernel': 'rbf'}",0.9514055938609998,0.9571577828749185,0.9415275338007143,0.9565439089792097,0.960107398293586,0.9533484435618856,0.006540857846525868,140
77,0.009515047073364258,0.000937569814288359,0.0024048328399658204,0.00018386098838809087,3,0.001,poly,"{'C': 3, 'gamma': 0.001, 'kernel': 'poly'}",0.9831095836721023,0.979277417946976,0.974610442074217,0.9871095281260825,0.98729566041735,0.9822805264473455,0.004837499701047251,57
78,0.04889955520629883,0.0007378559696785229,0.011386537551879882,0.0004560903323648833,3,0.001,sigmoid,"{'C': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
79,0.01098637580871582,0.0031134520394253623,0.0023693084716796876,0.0004264884323141553,3,0.001,linear,"{'C': 3, 'gamma': 0.001, 'kernel': 'linear'}",0.9831665300794615,0.9832415846161903,0.9787492442984731,0.9872959190566795,0.9957605745185628,0.9856427705138735,0.00573621865114207,15
80,0.011681413650512696,0.00015648961553488386,0.006499147415161133,0.00016831585755901365,3,0.0001,rbf,"{'C': 3, 'gamma': 0.0001, 'kernel': 'rbf'}",0.8779716848751226,0.8612719201702252,0.8554769096632191,0.8182340174482385,0.9110395058605278,0.8647988076034668,0.03026332192370913,155
81,0.009618854522705078,0.0007627629672009958,0.004399824142456055,0.00019477279795362493,3,0.0001,poly,"{'C': 3, 'gamma': 0.0001, 'kernel': 'poly'}",0.8827629125802436,0.8480559031703134,0.8535828121252771,0.8089732387007813,0.8918638186313731,0.8570477370415978,0.029248746851839463,156
82,0.04395084381103516,0.0007456319643296311,0.010820245742797852,0.0008262178589195016,3,0.0001,sigmoid,"{'C': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.16593615831380307,0.2028344536819113,0.2051033712050661,0.26890268162648207,0.16417654056788894,0.20139064107903032,0.03798856197253302,246
83,0.010894584655761718,0.003120042095995633,0.0021676540374755858,0.00015144706969250126,3,0.0001,linear,"{'C': 3, 'gamma': 0.0001, 'kernel': 'linear'}",0.9831665300794615,0.9832415846161903,0.9787492442984731,0.9872959190566795,0.9957605745185628,0.9856427705138735,0.00573621865114207,15
84,0.06398954391479492,0.0007595661451997123,0.011803531646728515,0.0003221943760268466,5,4,rbf,"{'C': 5, 'gamma': 4, 'kernel': 'rbf'}",0.41900443419430766,0.40270030150355823,0.39734121967502106,0.4244066201771069,0.42180746372482464,0.41305200785496365,0.010908742342005496,179
85,0.04701142311096192,0.014661125087218337,0.002229642868041992,1.5363779073673146e-05,5,4,poly,"{'C': 5, 'gamma': 4, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
86,0.02037158012390137,0.00036750664818673023,0.005776023864746094,0.0002536071594141693,5,4,sigmoid,"{'C': 5, 'gamma': 4, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
87,0.012237930297851562,0.003588615629723366,0.002128410339355469,8.247331156862938e-05,5,4,linear,"{'C': 5, 'gamma': 4, 'kernel': 'linear'}",0.9873838464012082,0.9832415846161903,0.9787492442984731,0.991549198841276,0.9957605745185628,0.9873368897351421,0.00598704261597987,1
88,0.06615281105041504,0.0004512747917990729,0.011976671218872071,0.00020888980369741488,5,2,rbf,"{'C': 5, 'gamma': 2, 'kernel': 'rbf'}",0.46344682867393205,0.480478477055771,0.48112304657392807,0.5369389514709526,0.5012485031778924,0.4926471613904952,0.025176525894477584,171
89,0.04501476287841797,0.01324458495942529,0.002501678466796875,0.00037242094455570355,5,2,poly,"{'C': 5, 'gamma': 2, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
90,0.02116694450378418,0.0009089674180388799,0.006483745574951172,0.0008949727698025367,5,2,sigmoid,"{'C': 5, 'gamma': 2, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
91,0.012221145629882812,0.0036602562770629795,0.0022676944732666015,0.0002508132448476189,5,2,linear,"{'C': 5, 'gamma': 2, 'kernel': 'linear'}",0.9873838464012082,0.9832415846161903,0.9787492442984731,0.991549198841276,0.9957605745185628,0.9873368897351421,0.00598704261597987,1
92,0.06519684791564942,0.0005483143121654872,0.011884832382202148,0.0003240362196723374,5,1,rbf,"{'C': 5, 'gamma': 1, 'kernel': 'rbf'}",0.5866598090759264,0.6192002711287364,0.5944860605183132,0.6288560888041962,0.631764281561124,0.6121933022176593,0.01830450754994287,163
93,0.04603943824768066,0.013267435976894303,0.0023288726806640625,0.00013318233406936616,5,1,poly,"{'C': 5, 'gamma': 1, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
94,0.02064805030822754,0.00026722489548360067,0.005765151977539062,0.0002752783598734163,5,1,sigmoid,"{'C': 5, 'gamma': 1, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
95,0.012180614471435546,0.0038118648903767336,0.002285480499267578,0.0002829597660484658,5,1,linear,"{'C': 5, 'gamma': 1, 'kernel': 'linear'}",0.9873838464012082,0.9832415846161903,0.9787492442984731,0.991549198841276,0.9957605745185628,0.9873368897351421,0.00598704261597987,1
96,0.039441919326782225,0.0027969896438664386,0.0074275493621826175,0.000402813805137114,5,0.1,rbf,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",0.9828872156300829,0.9468835268380885,0.9442140412322884,0.9696102795624976,0.9522125664046883,0.9591615259335292,0.014795603422577746,131
97,0.047882080078125,0.01588838940812225,0.0025663852691650392,0.0004025501369842903,5,0.1,poly,"{'C': 5, 'gamma': 0.1, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
98,0.020668888092041017,0.0006784264845402932,0.005983543395996094,0.00032739093408164693,5,0.1,sigmoid,"{'C': 5, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
99,0.01242523193359375,0.0036421589251468397,0.0020801544189453123,5.099112948095001e-05,5,0.1,linear,"{'C': 5, 'gamma': 0.1, 'kernel': 'linear'}",0.9873838464012082,0.9832415846161903,0.9787492442984731,0.991549198841276,0.9957605745185628,0.9873368897351421,0.00598704261597987,1
100,0.010629224777221679,0.00017074282247622963,0.0040950775146484375,6.675924570497992e-05,5,0.01,rbf,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",0.9830282402577571,0.9745762711864406,0.9489042222280654,0.9739136100104129,0.9783664604899326,0.9717577608345216,0.011879179522802546,79
101,0.047444915771484374,0.013807134287612526,0.002246189117431641,4.926847107305371e-05,5,0.01,poly,"{'C': 5, 'gamma': 0.01, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9703617234165125,0.9872349128910092,0.9704841400766304,0.009535395762172664,120
102,0.02035865783691406,0.00028790614971760755,0.0058937549591064455,0.0004168963958551123,5,0.01,sigmoid,"{'C': 5, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
103,0.012668848037719727,0.003801085493817431,0.0021485805511474608,8.163034348179943e-05,5,0.01,linear,"{'C': 5, 'gamma': 0.01, 'kernel': 'linear'}",0.9873838464012082,0.9832415846161903,0.9787492442984731,0.991549198841276,0.9957605745185628,0.9873368897351421,0.00598704261597987,1
104,0.007620620727539063,0.00032358857469922455,0.004433679580688477,0.00024064225805658929,5,0.001,rbf,"{'C': 5, 'gamma': 0.001, 'kernel': 'rbf'}",0.9695287837257458,0.9788944139555097,0.9422548218377712,0.9570198035954258,0.9735994937266124,0.964259463368213,0.01315903191977057,129
105,0.011155366897583008,0.0011648599785810782,0.0024326801300048827,0.0003327098118115597,5,0.001,poly,"{'C': 5, 'gamma': 0.001, 'kernel': 'poly'}",0.9789320384257093,0.9708435308708834,0.9830251669234721,0.9742845840472157,0.9830652911817932,0.9780301222898148,0.004833073604417651,66
106,0.04899253845214844,0.0011997345577304153,0.011421442031860352,0.0008100645580862234,5,0.001,sigmoid,"{'C': 5, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
