,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16,0.01738128662109375,0.0017980958666027694,0.0031685829162597656,0.000297121323594241,gini,6,sqrt,10,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 10}",0.9873417721518988,0.9707796747441351,0.9704972752469796,0.978864861124066,0.9915413360161792,0.9798049838566516,0.008526647813897135,89
17,0.07604427337646484,0.007983541552016133,0.006733894348144531,0.001386904847441369,gini,6,sqrt,50,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 50}",0.9873417721518988,0.9752073988806415,0.9791353817439622,0.9873019222896946,0.9957557038014782,0.9849484357735351,0.007165799284504034,68
18,0.14271512031555175,0.007411883901590122,0.01048121452331543,0.0010815949023385946,gini,6,sqrt,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",0.9874304191755192,0.979277417946976,0.9916077861147087,0.9873019222896946,0.9872811275302917,0.986579734611438,0.0040085484126908605,62
19,0.2726712226867676,0.009559778910825765,0.01794123649597168,0.0016454941621838206,gini,6,sqrt,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",0.9957805907172996,0.9833644799434149,0.9833615637995593,0.9873019222896946,0.9957557038014782,0.9891128521102894,0.00562115261026956,35
20,0.015015888214111327,0.00019238777401212658,0.0027357101440429687,3.7769175360553956e-05,gini,6,log2,10,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 10}",0.9873226172043355,0.9833644799434149,0.9746821941362587,0.9830380071905496,0.9656784281832801,0.9788171453315677,0.007753201769249261,92
21,0.07012853622436524,0.0018314974319117408,0.006537437438964844,0.0003767090506914387,gini,6,log2,50,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 50}",0.9915675639089775,0.9750390624949729,0.9916077861147087,0.9873019222896946,0.9957557038014782,0.9882544077219665,0.007128031585287066,46
22,0.13741278648376465,0.003806500554457958,0.009845256805419922,0.0002847829039547893,gini,6,log2,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 100}",0.9915675639089775,0.9752555824589723,0.983249470338983,0.9915450390357825,0.9957557038014782,0.9874746719088388,0.0073355792950463685,53
23,0.27873029708862307,0.005341612441989619,0.017905998229980468,0.001194051177413185,gini,6,log2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.9915675639089775,0.9833644799434149,0.9915415946555087,0.9873019222896946,0.9957557038014782,0.9899062529198147,0.004224398279469998,29
24,0.01587848663330078,0.0006626688593744633,0.002874422073364258,6.538955420420406e-05,gini,7,sqrt,10,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 10}",0.9831716691353871,0.9746224035938736,0.9830657367531478,0.9789385706243521,0.9915014686317218,0.9822599697476964,0.005590167560182871,84
25,0.06929702758789062,0.0012200092265719986,0.006328964233398437,0.001228688592716402,gini,7,sqrt,50,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 50}",0.9957805907172996,0.979277417946976,0.9790132816218621,0.9873019222896946,0.991518415665885,0.9865783256483434,0.006635403654136005,64
26,0.14361219406127929,0.008104449947833279,0.010145282745361328,0.00035580793794633077,gini,7,sqrt,100,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100}",0.9915544604895806,0.9833644799434149,0.9915916313559322,0.9915450390357825,0.9957557038014782,0.9907622629252376,0.004039549782950546,10
27,0.28183345794677733,0.005573671687797502,0.017891693115234374,0.0009227437408796821,gini,7,sqrt,200,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 200}",0.9957805907172996,0.979277417946976,0.9916077861147087,0.9915450390357825,0.9957627118644068,0.9907947091358347,0.006056602211088065,7
