,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_objective,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.3316798686981201,0.019459352963773668,0.00797896385192871,0.0006305249566842644,0.05,100,multi:softmax,1.2,2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 2}",0.9915611814345991,0.9872698826597132,0.9873229571254141,0.9957593971670388,0.9831912501793882,0.9890209337132306,0.004284723155439022,154
15,0.305643367767334,0.01048357767610686,0.007979059219360351,0.0006304515177641807,0.05,100,multi:softmax,2,0.1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 0.1}",0.9915611814345991,0.9872698826597132,0.9873229571254141,0.9957593971670388,0.9831912501793882,0.9890209337132306,0.004284723155439022,154
16,0.3135199069976807,0.022669835980640096,0.007482194900512695,0.0006346769676455651,0.05,100,multi:softmax,2,1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 1}",0.9915611814345991,0.9872698826597132,0.9873229571254141,0.9957593971670388,0.9831912501793882,0.9890209337132306,0.004284723155439022,154
17,0.32310872077941893,0.02642686109313076,0.007779502868652343,0.0007463274723739961,0.05,100,multi:softmax,2,1.2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 1.2}",0.9915611814345991,0.9872698826597132,0.9873229571254141,0.9957593971670388,0.9831912501793882,0.9890209337132306,0.004284723155439022,154
18,0.3695240497589111,0.02961483424174202,0.008378314971923827,0.0007979632617147154,0.05,100,multi:softmax,2,1.4,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 1.4}",0.9915611814345991,0.9872698826597132,0.9873229571254141,0.9957593971670388,0.9831912501793882,0.9890209337132306,0.004284723155439022,154
19,0.3326601982116699,0.03314018967203022,0.007979822158813477,0.0006306010768841626,0.05,100,multi:softmax,2,2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 2}",0.9915611814345991,0.9872698826597132,0.9873229571254141,0.9957593971670388,0.9831912501793882,0.9890209337132306,0.004284723155439022,154
20,1.6678632736206054,0.08949811073776578,0.009773874282836914,0.0007458822513492867,0.05,1000,multi:softmax,0.1,0.1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9873111357410133,0.9874201871995952,0.9898587018051501,0.0033737660071566727,146
21,1.6664793014526367,0.0477210651511812,0.010378551483154298,0.0003750029253407057,0.05,1000,multi:softmax,0.1,1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1}",1.0,0.9915254237288136,0.9915150134194323,0.9915288584550447,0.9874201871995952,0.9923978965605771,0.004119841887695269,27
22,1.61319899559021,0.01706974776498317,0.009476757049560547,0.0007726688733402534,0.05,1000,multi:softmax,0.1,1.2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1.2}",1.0,0.9915254237288136,0.9915150134194323,0.995769461288006,0.9874201871995952,0.9932460171271694,0.0042867508652366,18
23,1.6168004512786864,0.018881219581758462,0.009973859786987305,0.0006305279353167564,0.05,1000,multi:softmax,0.1,1.4,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1.4}",1.0,0.9915254237288136,0.9915150134194323,0.995769461288006,0.9874201871995952,0.9932460171271694,0.0042867508652366,18
